index,bitstring,energy,probability
0,011000,0.0,0.017578124999999997
1,100100,0.0,0.015625
3,011010,0.25,0.015625
4,000110,0.25,0.012695312499999998
5,100110,0.25,0.021484375
6,010110,0.25,0.015625
8,001001,0.25,0.0087890625
9,101001,0.25,0.013671875
10,011001,0.25,0.013671875
11,100101,0.25,0.019531250000000003
15,001000,0.5,0.0107421875
16,101000,0.5,0.012695312499999998
17,111000,0.5,0.015625
18,000100,0.5,0.018554687500000003
19,010100,0.5,0.007812500000000002
20,110100,0.5,0.015625
27,001011,0.5,0.019531250000000003
28,011011,0.5,0.015625
29,000111,0.5,0.025390624999999997
30,100111,0.5,0.014648437500000002
34,001010,0.75,0.014648437500000002
35,110110,0.75,0.015625
41,111001,0.75,0.017578124999999997
42,000101,0.75,0.018554687500000003
48,101011,1.0,0.013671875
49,010111,1.0,0.022460937499999997
51,101010,1.25,0.0166015625
52,111010,1.25,0.021484375
54,010101,1.25,0.013671875
55,110101,1.25,0.021484375
57,111011,1.5,0.019531250000000003
58,110111,1.5,0.014648437500000002
